when,module,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
2017-05-05 15:00:00.000,3,5.2639741897583,1865,460,1188,-288,3448,742
2017-05-05 16:00:00.000,3,5.2639741897583,1798,459,1139,-293,3433,757
2017-05-05 17:00:00.000,3,5.2639741897583,1733,445,1114,-286,3421,739
2017-05-05 18:00:00.000,3,5.24004697799683,1682,443,1077,-282,3404,758
2017-05-05 19:00:00.000,3,5.21633672714233,1637,435,1043,-280,3394,753
2017-05-05 20:00:00.000,3,5.21633672714233,1600,428,1004,-267,3380,759
2017-05-05 21:00:00.000,3,5.19283962249756,1567,427,972,-268,3355,757
2017-05-05 22:00:00.000,3,5.16955280303955,1543,420,946,-258,3347,762
2017-05-05 23:00:00.000,3,5.14647483825684,1515,406,918,-258,3325,747
2017-05-06 00:00:00.000,3,5.16955280303955,1494,409,893,-255,3310,747
2017-05-06 01:00:00.000,3,5.14647483825684,1478,400,868,-246,3299,748
2017-05-06 02:00:00.000,3,5.14647483825684,1454,394,852,-246,3285,746
2017-05-06 03:00:00.000,3,5.12360191345215,1438,399,833,-236,3276,761
2017-05-06 04:00:00.000,3,5.12360191345215,1424,392,815,-239,3267,752
2017-05-06 05:00:00.000,3,5.10093069076538,1399,387,802,-235,3255,750
2017-05-06 06:00:00.000,3,5.10093069076538,1373,386,783,-233,3239,748
2017-05-06 07:00:00.000,3,5.10093069076538,1356,373,770,-229,3225,742
2017-05-06 08:00:00.000,3,5.0784592628479,1341,379,760,-231,3218,756
2017-05-06 09:00:00.000,3,5.0784592628479,1322,370,750,-227,3207,746
2017-05-06 10:00:00.000,3,5.0784592628479,1309,365,748,-226,3208,747
2017-05-06 11:00:00.000,3,5.12360191345215,1295,362,739,-225,3203,750
2017-05-06 12:00:00.000,3,5.0784592628479,1274,359,732,-225,3199,757
2017-05-06 13:00:00.000,3,5.10093069076538,1242,353,723,-225,3197,754
2017-05-06 14:00:00.000,3,5.12360191345215,1209,349,716,-225,3198,756
2017-05-06 15:00:00.000,3,5.12360191345215,1178,350,702,-221,3206,736
