when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-04-30T06:11:32.094Z,01,4.789815425872803,1246,463,283,-116,549,176
2017-04-30T06:40:50.574Z,01,4.789815425872803,1257,496,282,-121,547,185
2017-04-30T07:10:08.447Z,01,4.76943302154541,1259,471,283,-116,546,181
2017-04-30T07:39:26.155Z,01,4.76943302154541,1268,488,284,-119,548,184
2017-04-30T08:08:43.866Z,01,4.76943302154541,1276,496,286,-120,546,180
2017-04-30T08:38:01.698Z,01,4.76943302154541,1278,487,285,-119,547,183
2017-04-30T09:07:19.592Z,01,4.76943302154541,1209,590,291,-133,552,188
2017-04-30T09:36:38.015Z,01,4.76943302154541,1206,585,369,-164,555,188
2017-04-30T10:05:57.545Z,01,4.76943302154541,1199,579,357,-153,552,188
2017-04-30T10:35:18.028Z,01,4.76943302154541,1179,573,350,-151,551,193
2017-04-30T11:04:40.126Z,01,4.76943302154541,1165,582,344,-150,549,188
2017-04-30T11:34:06.051Z,01,4.76943302154541,1144,557,336,-146,551,187
2017-04-30T12:03:37.184Z,01,4.76943302154541,1153,575,330,-141,551,187
2017-04-30T12:33:04.563Z,01,4.76943302154541,1139,586,327,-139,554,192
2017-04-30T13:02:43.077Z,01,4.76943302154541,1135,581,325,-136,555,190
2017-04-30T13:32:37.725Z,01,4.789815425872803,1109,563,321,-138,553,191
2017-04-30T14:02:18.492Z,01,4.789815425872803,1094,557,322,-134,557,193
2017-04-30T14:31:48.322Z,01,4.789815425872803,1092,582,320,-133,554,190
2017-04-30T15:01:19.538Z,01,4.789815425872803,1084,593,323,-141,556,194
2017-04-30T15:30:45.572Z,01,4.789815425872803,1072,587,320,-138,554,199
2017-04-30T16:00:12.104Z,01,4.76943302154541,1068,550,320,-131,558,195
2017-04-30T16:29:41.823Z,01,4.76943302154541,1073,570,319,-134,559,198
2017-04-30T16:59:14.700Z,01,4.76943302154541,1061,563,319,-128,558,196
2017-04-30T17:28:52.694Z,01,4.789815425872803,1056,568,321,-130,560,195
2017-04-30T17:58:29.989Z,01,4.789815425872803,1043,574,324,-136,558,199
2017-04-30T18:28:08.956Z,01,4.789815425872803,1037,559,326,-135,564,196
2017-04-30T18:57:44.085Z,01,4.789815425872803,1026,556,328,-135,560,199
2017-04-30T19:27:13.871Z,01,4.789815425872803,1017,559,331,-142,561,201
2017-04-30T19:56:40.584Z,01,4.76943302154541,1025,551,333,-136,562,198
2017-04-30T20:26:03.694Z,01,4.76943302154541,1026,550,336,-136,562,197
2017-04-30T20:55:24.632Z,01,4.76943302154541,1026,557,336,-137,562,198
2017-04-30T21:24:44.373Z,01,4.749223709106445,1020,547,338,-140,561,193
2017-04-30T21:54:03.518Z,01,4.749223709106445,1026,554,341,-142,559,197
2017-04-30T22:23:22.600Z,01,4.749223709106445,1022,533,338,-138,559,192
2017-04-30T22:52:41.276Z,01,4.729184627532959,1033,554,344,-140,562,199
2017-04-30T23:21:59.496Z,01,4.729184627532959,1037,560,346,-144,564,199
2017-04-30T23:51:17.396Z,01,4.729184627532959,1026,531,346,-138,559,193
2017-05-01T00:20:35.168Z,01,4.729184627532959,1028,564,346,-151,558,200
2017-05-01T00:49:52.777Z,01,4.729184627532959,1027,555,345,-147,558,195
2017-05-01T01:19:10.374Z,01,4.709314346313477,1036,561,350,-145,561,200
2017-05-01T01:48:27.819Z,01,4.709314346313477,1032,535,350,-142,562,190
2017-05-01T02:17:45.242Z,01,4.709314346313477,1038,557,354,-149,563,201
2017-05-01T02:47:02.594Z,01,4.709314346313477,1037,563,355,-152,562,206
2017-05-01T03:16:19.972Z,01,4.709314346313477,1033,547,354,-147,561,195
2017-05-01T03:45:37.162Z,01,4.709314346313477,1034,548,356,-149,558,196
2017-05-01T04:14:54.293Z,01,4.709314346313477,1046,554,360,-150,560,198
2017-05-01T04:44:11.518Z,01,4.689610004425049,1037,532,362,-152,560,197
2017-05-01T05:13:28.752Z,01,4.689610004425049,1041,558,361,-152,561,198
2017-05-01T05:42:45.886Z,01,4.689610004425049,1036,564,360,-156,559,199
2017-05-01T06:12:02.778Z,01,4.689610004425049,1040,557,362,-150,564,202
2017-05-01T06:41:19.418Z,01,4.689610004425049,1042,555,364,-149,564,200
2017-05-01T07:10:35.710Z,01,4.689610004425049,1041,554,367,-150,563,201
2017-05-01T07:39:51.885Z,01,4.689610004425049,1037,544,368,-153,561,203
2017-05-01T08:09:07.986Z,01,4.670070171356201,1036,526,367,-149,561,200
2017-05-01T08:38:24.122Z,01,4.670070171356201,1041,554,370,-153,560,199
2017-05-04T12:41:43.543Z,01,5.165054798126221,-1,0,-1,0,-1,0
2017-05-04T12:43:42.674Z,01,4.245518207550049,-1,0,-1,0,-1,0
2017-05-04T12:43:50.286Z,01,4.245518207550049,-1,0,-1,0,-1,0
2017-05-04T12:50:19.812Z,01,5.0036468505859375,-1,0,-1,0,-1,0
2017-05-04T12:52:14.862Z,01,5.026083946228027,-1,0,-1,0,-1,0
2017-05-04T12:58:46.981Z,01,4.98140811920166,938,-491,592,261,571,200
2017-05-04T13:29:30.677Z,01,5.0946221351623535,944,-503,592,266,575,199
2017-05-04T13:59:35.928Z,01,5.117884635925293,947,-483,590,263,576,200
2017-05-04T14:29:42.718Z,01,5.141361236572266,937,-486,584,258,573,198
2017-05-04T15:30:03.972Z,01,5.141361236572266,949,-508,579,261,574,196
2017-05-04T16:00:11.315Z,01,5.141361236572266,947,-491,578,261,574,203
2017-05-04T16:30:14.376Z,01,5.141361236572266,937,-483,571,252,573,200
2017-05-04T17:00:13.425Z,01,5.141361236572266,941,-488,572,258,577,208
2017-05-04T17:30:12.749Z,01,5.141361236572266,933,-480,568,259,576,205
2017-05-04T18:00:00.072Z,01,5.117884635925293,933,-486,565,259,576,204
