Date,d15cm_unified,d45cm_unified,d75cm_unified
2017-04-28 20:00:00.000,998.907592954882,683.301828267564,964.304764453884
2017-04-28 21:00:00.000,997.121137107248,678.818475276674,959.596871597512
2017-04-28 22:00:00.000,997.690373026916,674.665593144752,957.441852703096
2017-04-28 23:00:00.000,997.77372314053,671.302973103789,955.97898217197
2017-04-29 00:00:00.000,996.332015657121,667.184964921814,951.950620043963
2017-04-29 01:00:00.000,996.759204940184,666.485443824395,950.865289093772
2017-04-29 02:00:00.000,996.820340285041,666.281588991279,948.836199377639
2017-04-29 03:00:00.000,996.131806760418,664.815150017471,942.543418392344
2017-04-29 04:00:00.000,1015.47400256666,673.640555108387,943.61114200556
2017-04-29 05:00:00.000,1033.00884672247,674.177469698044,962.430398397496
2017-04-29 06:00:00.000,1049.56028824666,673.500688268681,978.179663837818
2017-04-29 07:00:00.000,1064.00080353082,671.190566359813,990.375368510333
