when,d15cm_modulo1,d45cm_modulo1,d75cm_modulo1,d15cm_modulo2,d45cm_modulo2,d75cm_modulo2,d15cm_modulo3,d45cm_modulo3,d75cm_modulo3,d15cm_modulo4,d45cm_modulo4,d75cm_modulo4,wetness_modulo5,temperature_modulo5
2017-04-30 13:00:00.000,1135.36677136081,325.183385680405,554.908307159797,929.275090586469,832.362454706766,1889.72230976842,4907.18579519927,1477.74782027775,3156.95574365135,759.80795638975,1029.18548505333,1303.5625831097,945.692409260254,27.3819456670216
2017-04-30 14:00:00.000,1095.16656474429,321.922229017047,556.688916068189,881.139602763959,802.829536557952,1978.06172135618,5243.98830450331,1340.94828734826,3222.14499070768,759.532559362361,1027.58099802419,1313.28529555489,946.501602322143,27.3916859538776
2017-04-30 15:00:00.000,1084.35924698061,322.865282382273,555.910188254849,849.128330414408,883.01598598916,2098.92784179822,4851.14891074547,1402.83057572694,3330.64460581549,759.257162334973,1025.97651099506,1323.00800800008,947.310795384032,27.4014262407337
2017-04-30 16:00:00.000,1068.02740737218,320,557.972592627815,843.931628577893,822.79488573368,2154.03295508542,4248.39625081756,1367.81179939864,3482.19141689528,758.981765307585,1024.37202396593,1332.73072044528,948.119988445922,27.4111665275898
2017-04-30 17:00:00.000,1060.8726092439,319.05095630244,558.05095630244,837.464983583062,801.709147513572,2325.89970568948,4124.73483733783,1231.42867854558,3599.44889542848,758.706368280196,1022.76753693679,1342.45343289047,948.929181507811,27.4209068144459
2017-04-30 18:00:00.000,1042.69641595375,324.101194682082,558.303584046247,818.054803127969,784.369868751979,2655.15510098988,3895.29618608289,1350.82128843599,3613.2577992585,758.430971252808,1021.16304990766,1352.17614533566,949.738374569701,27.430647101302
2017-04-30 19:00:00.000,1025.30882321365,328.230392262115,560.076797420705,798.472238448171,765.682558226481,2977.93604433797,3624.32684080251,1337.28912323156,3561.38129186338,758.155574225419,1019.55856287853,1361.89885778085,950.54756763159,27.440387388158
2017-04-30 20:00:00.000,1025.11310468434,333.339314053009,562,797.414254438421,763.151764721328,2990.20327003642,3355.78940519318,1190.37056591106,3469.80596638317,757.880177198031,1017.9540758494,1371.62157022604,951.35676069348,27.4501276750141
2017-04-30 21:00:00.000,1025.06110728795,336.312964237351,561.843517881325,797.876548411929,762.205162775573,2956.95112494194,3321.7493737773,1168.78559359742,3443.48185119377,757.604780170642,1016.34958882026,1381.34428267123,952.165953755369,27.4598679618702
2017-04-30 22:00:00.000,1025.18939082999,340.392043122492,559,798.338842385438,761.258560829818,2923.69897984745,3340.12934284442,1168.51841052195,3442.83615876137,757.329383143254,1014.74510179113,1391.06699511643,952.975146817259,27.4696082487263
2017-04-30 23:00:00.000,1033.9981094516,344.499054725802,562.499054725802,798.801136358946,760.311958884063,2890.44683475296,3358.50931191155,1168.25122744647,3442.19046632897,757.053986115865,1013.140614762,1400.78970756162,953.784339879148,27.4793485355823
2017-05-01 00:00:00.000,1026.59462091784,346,558.702689541078,799.263430332454,759.365356938308,2857.19468965848,3376.88928097868,1167.98404437099,3441.54477389657,756.778589088477,1011.53612773287,1410.51242000681,954.593532941037,27.4890888224384
2017-05-01 01:00:00.000,1030.10936295408,346.727423863377,559.036454318026,799.725724305962,758.418754992553,2823.94254456399,3395.2692500458,1167.71686129552,3440.89908146417,756.503192061089,1009.93164070373,1420.235132452,955.402726002927,27.4988291092945
2017-05-01 02:00:00.000,1034.36316811604,351.575445410695,562.393861352674,800.188018279471,757.472153046798,2790.69039946951,3413.64921911293,1167.44967822004,3440.25338903177,756.2277950337,1008.3271536746,1429.95784489719,956.211919064816,27.5085693961506
2017-05-01 03:00:00.000,1035.23053207676,354.557633019191,561.557633019191,800.650312252979,756.525551101043,2757.43825437502,3432.02918818006,1167.18249514457,3439.60769659937,756,1006.64544723146,1428.78162801802,957.021112126706,27.5183096830066
2017-05-01 04:00:00.000,1039.89259195814,357.96419731938,558.98209865969,801.112606226487,755.578949155288,2724.18610928054,3450.40915724718,1166.91531206909,3438.96200416697,771.78127046795,1004.6249727094,1380.46889327565,957.830305188595,27.5280499698627
2017-05-01 05:00:00.000,1039.15903402734,361.460241493165,560.539758506835,801.574900199995,754.632347209533,2690.93396418605,3468.78912631431,1166.64812899361,3438.31631173457,788.916985204454,1004.62452219332,1334.28864055768,958.639498250485,27.5377902567188
2017-05-01 06:00:00.000,1038.3544167769,361.17720838845,561.943020971124,802.037194173504,753.685745263778,2657.68181909156,3487.16909538144,1166.38094591814,3437.67061930217,799.647244871477,1006.44336735712,1299.30744901422,959.448691312374,27.5475305435749
2017-05-01 07:00:00.000,1041.3619614506,365.914115648195,563.361961450602,802.499488147012,752.739143318023,2624.42967399708,3505.54906444857,1166.11376284266,3437.02492686977,859.46958998073,1003.69391799615,1263.40113135517,960.257884374264,27.557270830431
2017-05-01 08:00:00.000,1036.31204697224,367.312046972241,561,802.96178212052,751.792541372268,2591.17752890259,3523.92903351569,1165.84657976719,3436.37923443737,897.139047125546,1000.23767190284,1231.43047643723,961.067077436153,27.567011117287
